Wall time,Step,Value
1687164487.9076557,19,0.03125
1687164530.8954847,43,0.09375
1687164536.2652152,46,0.046875
1687164583.3764162,72,0.1875
1687164625.2523432,95,0.15625
1687164741.1305044,159,0.265625
1687164757.6754842,168,0.234375
1687164869.824765,230,0.28125
1687164879.0220368,235,0.3125
1687164917.1294987,256,0.265625
1687164949.772773,274,0.28125
1687165013.2364085,309,0.34375
1687165016.8621647,311,0.296875
1687165031.3443968,319,0.3125
1687165120.5131507,368,0.375
1687165218.6964853,422,0.359375
1687165289.6763763,461,0.421875
1687165314.9149187,475,0.375
1687165427.9363236,537,0.40625
1687165477.0060806,564,0.390625
1687165506.042936,580,0.4375
1687165518.824421,587,0.46875
1687165520.5852103,588,0.546875
1687165921.450353,635,0.34375
1687165944.963654,648,0.453125
1687165970.4208007,662,0.375
1687165988.6635263,672,0.25
1687166066.8340693,715,0.453125
1687166081.5266888,723,0.453125
1687166159.5177183,766,0.40625
1687166170.365249,772,0.453125
1687166195.6892474,786,0.546875
1687166199.2731962,788,0.484375
1687166226.61974,803,0.546875
1687166237.697238,809,0.46875
1687166288.438654,837,0.484375
1687166486.9740474,946,0.53125
1687166534.116541,972,0.703125
1687166535.9061236,973,0.375
1687166546.7969499,979,0.53125
1687166595.9161766,1006,0.53125
1687166612.1558874,1015,0.5625
1687166701.2176025,1064,0.609375
1687166706.6967063,1067,0.6875
1687166755.8485456,1094,0.59375
1687166775.8649302,1105,0.546875
1687166879.8660629,1162,0.578125
1687166881.6643434,1163,0.65625
1687167230.0063434,1181,0.515625
1687167346.321207,1245,0.609375
1687167377.1089005,1262,0.53125
1687167477.1685853,1317,0.484375
1687167482.524389,1320,0.609375
1687167508.0705178,1334,0.640625
1687167515.2183414,1338,0.515625
1687167602.5064,1386,0.515625
1687167615.1047606,1393,0.5625
1687167655.2877905,1415,0.453125
1687167676.8765702,1427,0.71875
1687167695.2071934,1437,0.59375
1687167749.92063,1467,0.640625
1687167769.661188,1478,0.59375
1687167795.195661,1492,0.515625
1687167853.5266168,1524,0.734375
1687167906.3725207,1553,0.609375
1687167935.2370868,1569,0.5625
1687167964.263705,1585,0.5625
1687167971.7790089,1589,0.625
1687168002.6112268,1606,0.46875
1687168066.2901247,1641,0.625
1687168158.8451877,1692,0.65625
1687168191.63842,1710,0.65625
1687168207.771712,1719,0.734375
1687168233.2889771,1733,0.59375
1687168236.8934033,1735,0.609375
1687168242.2640948,1738,0.59375
1687168638.1189597,1782,0.75
1687168719.743921,1827,0.734375
1687168752.3993523,1845,0.53125
1687168768.936647,1854,0.53125
1687168792.4944286,1867,0.65625
